pd_index,respuesta
23,"Escuchar a los trabajadores, entregar sueldos de acuerdo al mercado, servicio de trabajo y complejidad del mismo. Mejorar el servicio de alimentación, es impresionante la cantidad de comida que termina en la basura a diario porque realmente la presentación y el sabor deja mucho que desear... es triste. Por lo mismo, gastamos importantes sumas de dinero en comida, ya que muchos tenemos requerimientos de salud especiales. Por último, valorar el trabajo realizado en pandemia como ocurrió en el sistema público con días de vacaciones extra (sin mencionar que los servicios críticos en hospitales ya tienen de por sí más días de vacaciones de base que nosotros)."
24,Mejorar los sistemas definitivamente(administrativamente); ya que sin ellos la atención hacia el paciente es deficiente.
25,"Mejorar los sueldos, son bajos, no demuestran que de verdad les interese el bienesatr de los trabajadores."
26,"Mejorar el número de personal que trabaja en el círculo del paciente 
Valorar el trabajo de los funcionarios de salud que realizamos , Y ser reconocidos una clínica de excelencia por la atención profesional que se entrega y el manejo de los pacientes y sus enfermedades , más que por lo material de la clínica 
Mejorar la infraestructura, aún se realizan soluciones provisorias 
Tener una mejor sala de estar , merecemos tener un lugar dentro de nuestro horario de colación presentable 
Tener mayor cercanía desde jefaturas de coordinadora con personal para informar problemáticas del trabajo y realmente solucionarlas
Mejorar áreas y espacios de trabajo , en ocasiones no hay lugar donde estar"
27,Mejorar los sueldos y las dependencias
28,Entregar bono de incentivos y mayor capacitación
29,Preocuparse del personal
30,"Nivelar la renta, y incentivos económicos por el logro de objetivos. sobre todo cuando son de alto impacto para la organización."
31,"Desde 2008 solo me han subido el IPC, vengo de clinica Francesa, no fue justo que compraran la empresa y nos mantengan con el mismo sueldo. Fui hablar en octubre de 2021 por un aumento de sueldo, finalmente no se logro, solo modificaron unos bonos mantiendo el mismo sueldo y por este motivo me siento acongojada y con ganas de irme."
32,Nosé
33,Mejorar filtro de selección del personal
34,Mejores condiciones laborales
35,Respetar los derechos fundamentales de los trabajadores
36,Aumento de sueldo
37,mejorar sueldos y sobre todo beneficios
38,"Dar la oportunidad a los trabajadores antiguos de postular a puesto que signifiquen mejoras salariales . Y no acomodar a los amigos o apitutados.
Bono de reconocimiento por año servicio.
Que den becas de estudios a los trabajadores
Mejoras en la infraestructuras en cuanto a lo   básicos no hay baños suficientes no hay un lugar donde hacer una pausa dónde dejar las chaquetas o carteras con respecto al mobiliario es cero ergonómico.
En cuanto a la jefatura se puede decir que en algunos servicios hay muchos caciques y pocos indios.
Cómo es la clínica más grande de la región también los trabajadores deberían tener buenos  beneficio en atención en salud.
Deberían arreglar la clínica no solamente cambiándole el nombre a las torres de consulta y tapando con pintura un arreglo definitivo a los edificios sobretodo al de torre Pedro de Valdivia es horrible. baños asquerosos pasillos parchados ese edificio es un laberinto y las habitaciones son muy feas.demasiados accesos.
Casino para que hablar de la comida mucha gente trae la suya por lo poco atractiva por decirlo sutilmente que es la que sirven acá."
39,Aumentar sueldo. Tener preocupación de la movilización de su personal. Ya que no todos tenemos vehículos personales. Y la alimentación muy mala calidad ya que son 12 horas de trabajo
40,Aumentar los sueldos
41,"mejorar los beneficios, sueldos, instalaciones, que se le de mas importancia a los funcionarios."
42,Salarios
43,"nivelar sueldos, equilibrar funciones y que los trabajadores sean realmente valorados, de esta forma nos sentiremos orgullosos de trabajar en la clínica"
44,"Primero que todo, tener de coordinador a personas que se preocupen por el personal y sus necesidades laborales para que puedan tener las herramientas que se necesitan, contratar personas que cumplan con horarios y responsabilidades laborales
Mejorar los almuerzos y colaciones nocturnas"
45,"Mejorar sueldos, para que uno considere quedarse más tiempo, ser más empaticos con el personal, que realmente sean conscientes que trabajan con personas. perfeccionamiento de cursos de avanzado en el área donde uno se desempeña, no esos cursos de la mutual, que dejan bastante que desear. Mejorar infraestructura, materiales con los que uno trabaja, espacios."
46,Subir los sueldos
47,Mejorar los sueldos para todos
48,Que las jefaturas se convirtieran en lideres de trabajo
49,Mejorar colaciones para los que trabajan en turno
50,"Se puede mejorar todo si hay voluntad, pero lo importante son las mejoras de algunos espacios."
51,Escuchar al trabajador
52,"Mejorar los almuerzos (debo traer almuerzo ya que son de pésima calidad). Preocuparse del traslado de funcionarios, sobre todo en las noches. Mejorar sistema de marcador de huella. Mejora en sueldos."
53,"Mejorar los sueldos de los tens, hacemos mucho y pagan muy poco, para todo el trabajo que se tiene que realizar."
54,Preocupación de personal. Subir el sueldo. Dar atención psicológica.
55,Regular y mejorar los sueldos de acuerdo al mercado. Actualmente personal nuevo ingresa con sueldos similares a los de funcionarios que llevan años en la institución. Eso genera falta de pertenencia hacia la clínica  porque se siente que no se valora la permanecia.
56,"Lo más importante para los trabajadores es recibir un sueldo digno, por lo cual para mantener a sus trabajadores deberían, aumentar el sueldo igualandolo a aquellos lugares donde pagan mucho más."
57,"Que los altos jefes verifiquen cada area y consideren gente que hacen la pega y quien no , y vean quien realmente merece estar y responde con todo lo que se debe hacer y evaluen"
58,"Contratar gente competente y con ganas de querer cambiar las cosas y no tener a los mismos jefes como una especie de ""dinastía"""
59,"Preocuparse de brindar mejores oficinas y muebles al personal, mejorar los sistemas informáticos."
60,.
61,Mejorar el sueldo y disminuir carga laboral agragando mas personal
62,contratar mas personal
63,"TRATARNOS COMO PERSONAS, CON EMPATIA, CALIDEZ."
64,El sueldo
65,Aumentar los sueldos a los tens
66,Dejar los sueldos nivelados a nivel de mercado
67,Horarios no tan extensos y menos carga laboral
68,"Mejorar el trato hacia el personal. No hay estacionamientos seguros, cercanos en los turnos. Nos exigen mucho y no nos felicitan. Se nos mira feo cuando queremos pedir un dia o vacaciones, que es algo legal. Se nos presiona mucho con el tema de ingresos, pero a veces no damos a vasto con los pactes que ya tenemos hospitalizados"
69,Comunicación en los grupos de trabajo
70,Siempre hay cosas por mejorar ....en el Dia a Dia se presentan actitudes de personas negativas que sólo trabajan por necesidad  y no por amor a lo que hacen ....eso me gustaria cambiar
71,"Cambiar la coordinadora de las Tens, por una persona más empatica"
72,.
73,"Evitar los puestos de trabajo en forma jerarquica, es decir que ningun funcionario sea superior a otro por su lugar de trabajo"
74,Mejorar sueldos y un poco más de empatía con la carga laboral de cada piso
75,"Mejorar el sueldo, sobre todo segun CV. Desmotiva que pasen años y siga siendo igual"
76,"Entregar cena a turno noche, variar opciones de alimentacion a pacientes."
77,Mejorar la calidad… no aumentar la cantidad
78,Seguir dándolo todo y que nos sigan apoyando mucho más en nuestro trabajo y que sigan confiando en lo que hacemos a diario
79,"Reconocer el mérito, mejorar los sueldos"
80,:
81,Mas Oportunidades para hacer cursos
82,.
83,"Realizar mas cursos para el personal para que estén mas preparados de lo que están , mejorar los sueldos , cursos de relaciones personales que son muy buenos , como enfrentar reclamos para poder solucionarlos y el cliente se retire satisfecho por su atención"
84,Valorar la experiencia y los años de servicio mejorando la remuneración económica
85,Otorgar mas beneficios al personal y tratos mas cordiales
86,"Creo que reforzar las áreas más débiles , generalmente en los puntos débiles que todavía existen."
87,"tener jefatura mas empática con sus colaboradores, preocuparse por ellos y valorar mas el trabajo que hacemos"
88,Los sueldos y beneficios para sus trabajadores
89,"Hay áreas que tienen jefaturas deficientes en lo humano, es necesario hacer cambios"
90,"tener un sistema operativo mas optimo , comprar un super servidor en informática  y que la jefatura apoye mas al personal , también algo muy relevante los  sueldos mejorarlos ."
91,Cambio de coordinadoras y jefatura
92,Reconocer nuestro trabajo
93,Subir los sueldos
94,Aumentar los sueldos a uno Justo con el mercado y otros centros hospitalarios
95,"Netamente sueldo, ya que en general se espera de una clínica que pague más que el servicio público. En cambio acá se paga prácticamente la mitad menos que cualquier colega de hospital y tenemos mayor carga laboral porque hay menos gente y los insumos son de peor calidad y baja cantidad"
96,"Que las jefaturas se preocupen más de las personas que tienen a su cargo, que gerencia este más presente, mejorar infraestructuras, mejor bienestar para los trabajadores y sus familias, etc"
97,Evitar las rotacion de personal y cambios de turno
98,Creo que hay q mejorar muchas cosas. Ejemplo el almuerzo..
99,Mejorar el sueldo
100,Subir los sueldos
101,"Real preocupación por el recurso más importante en una empresa el recurso humano , trabajador contento y qye siente que se preocupan de él  empaticamente , da todo por su lugar de trabajo y equipo fn momentos decretal necesidad"
102,"Subir sueldos, dar reconocimiento a trabajadores, mejorar la utilidades o ganacias con sus trabajadores, el almuerzo es malisimo, y nos dan solo un comida en un turno de 12 horas"
103,"Mejorar los sueldos a los TENS, no puede ser que ganemos tan mal y que nuestro sueldo sea el mismo que los auxiliares de servicio que sin desmerecer su trabajo ellos no estudian para ejercer su oficio y por ende no se endeudan para poder estudiar. Se debe valorar el trabajo del personal que estudia para poder atender a los pacientes y subir los sueldos tan bajos. El sanatorio se caracteriza por tener los sueldos más bajos de la región. Y el prestigio que tiene es gracias a sus trabajadores no a sus instalaciones. Pero nunca lo valoran como a uno le gustaría que se viera reflejado en el “sueldo”"
104,"Mejorar los sueldos y las jornadas laborales, instalar una zona para que las mamas podamos extraernos y almacenar nuestra leche materna"
105,Realizar más capacitaciones
106,Aumentar los sueldos
107,"Dar oportunidades de ascenso y reconocimiento de estudios , por la experiencia de trabajar más de 10 años en la organización ."
108,Tener más apoyo laboral falta de personal en servicios de paciente hospitalizaso
109,La comunicacion interna
110,"Mejorar el ambiente laboral, que sea mas cercano. Mejorar espacio físico del laboratorio que donde trabajo"
111,"Oportunidades reales de desarrollo de carrera y trato a todos por igual, no el trato diferenciado a personal médico"
112,Ajuste salarial según el estándar nacional
113,Dar oportunidades en otras áreas
114,Empatía con el trabajo realizado
115,Más beneficios a los funcionarios
116,"Dar mayores beneficios, aumentar sueldo o generar bonos en base a cumplimietos, preocuparse de recepcionar y tomar medidas en lo que necesitan los empleados. Ser cordiales y cercanos. Preocuparse de tener personale suficinete para las labores, y no explotar a una persona al quedar sola por licencia medica o permisos de sus compañeros. además de bajar la información de lo que se espera de nosotros como trabajador, no tratar tan despectivamente."
117,"Estar más informados, de los problemas que existen en los servicios, en relación a la dinámica de trabajo y trato de personal"
118,"Que se preocupen de las desigualdades de los sueldos, tener mejores beneficios."
119,Aumentar el sueldo
120,"Mejorar la cominicacion interna, y es necesario el apoyo de jefatura en cuanto a directrices, estimulo y felicitaciones"
121,Tener más garantías para los trabajadores y mejorar las negociaciones
122,"Subir sueldos, mas beneficios, capacitaciones al personal, mejorar la seguridad."
123,Sueldos acorde con  costo de la vida
124,revisar y estandarizar sueldos según mercado
125,Destacar la antigüedad del personal. En remuneración o bonos
126,"No hay régimen de trabajo las personas hacen lo que quieren, mucho desorden, y poca consecuencia."
127,"Mejorar los sueldos, mejorar y agregar bonos y pagar especialidad y trabajo en uci"
128,De esta encuesta quizás salgan ideas.
129,Mejorar más el sueldo
130,"Trabajo en equipo de todas las áreas , comunicación efectiva hacia las personas que realizan la operatividad a diario"
131,Subir sueldos
132,Continuar con el trabajo en equipo  y con mucho amor ami trabajo
133,Facilitar la movilización para los que vivimos lejos
134,"Los sueldos,evaluacion al personsal,reconocimiento a la antigüedad,todo lo wue significa preparar todos los años al nuevo personal"
135,Su infraestructura
136,Mejorar los tiempos de atención en consulta médica y urgencias. Y brindar mejores espacios de descanso para los funcionarios.
137,Generar encuentros de participación en diferentes ámbitos de la clinica
138,"Mejorar los sueldos, ambiente laboral, jefatura más empática,  mejorar sistema  informático de consultas medicas"
139,Aumento de sueldo
140,SoyTens UCI adulto. Subir el sueldo
141,Mejorar los sueldos de tens
142,"Mejorar los sueldos, realizar PCR gratuito a personal, sobre todo de enfermería, cada 15 días, mejorar colaciones para turno de noche, aumento de personal de enfermería competente en área hospitalizados, mejorar seguridad... Etc"
143,"Preocuparse más por los empleados y la calidad de atención que se brinda a los pacientes.
Valorar el trabajo que se entrega como trabajador viendose reflejado en los sueldos"
144,Que nos den las herramientas para trabajar mejor.equipamientos y mejorar en la atención administrativas
145,Mejorar el sueldo
146,Subir sueldos- Mucho trabajo poco dinero -
147,Más extrictos y pedirle más compromiso al personal nuevo q se viene integrando para hacer un mejor trabajo en equipo
148,Que la organizacion de compañeros con el lugar de trabajo lo respeten
149,Calidad de sueldos y escuchar al personal
150,Hacer que el trabajador se sienta y vea que es muy necesario en su puesto de trabajo...que se vea reflejado su esfuerzo y entrega en su remuneracion.
151,Mejorar los sueldos
152,"mejora en equipos computacionales, en oficinas con menos gente, mejora en sueldos y dar cursos a funcionarios de contencion para atención a público."
153,"Estacionamiento para funcionarios de urgencia. Vacaciones compensatorias.
Equiparar sueldo con servicio publico"
154,Tener mayor reconocimiento por la experiencia y antiguedad de los funcionarios
155,Mejorar atención en sus trabajadores
156,No considerarnos un número
157,Sueldos
158,Trabajar más en equipo siempre mantener el respeto entre trabajador y jefatura .
159,Seguir siendo activa y motivada en mi rol de tens
160,Valorar el trabajo y compromiso con la empresa y aumento salarial
161,Colocar buses de acercamientos entrada y salida laboral
162,"Aumento de sueldo base, mejorar alimentación y colaciones"
163,Mejorar los sueldos .
164,"Subir el sueldo, arreglar horarios de trabajo, mejorar alimentación del casino"
165,"Remuneración, colaciones y locomoción"
166,No lo se
167,Mejorar los sueldos y aumento de asignacion caja
168,"Mejorar los sueldos, mejorar la infraestructura para trabajar del personal administrativo"
169,Mantener a su personal de trabajo más conforme con sus SUELDOS por todo el trabajo que se realiza
170,Mejorar casino
171,Mejorar los sueldos y que la jefatura  realmente te escuché
172,Mejorar los sueldos
173,Subir los sueldos
174,"Mejorar oportunidad de cargos para de esta forma poder ofrecer mayor estabilidad laboral, mejorar oferta salarial"
175,La remuneración de tens
176,..
177,Tener un poco más de  preocupación con los auxiliares de servicio ellos son un gran aporte al sanatorio alemán
178,Mejorar un poco los sueldos
179,Que el trabajo y compromiso sea valorado.mejora salarial
180,MEJORAR SISTEMA COMPUTACIONAL Y REMUNERACION AL PERSONAL.
181,Aumentar el sueldo
182,"Mejor la seguridad,  hotelería, más apoyo de parte de la coordinación, mejorar sueldos"
183,Tener un poco de privilegio al pertenecer al sanatorio al momento de ser atendido en las instalaciones
184,"Aumento de sueldo ,estimulacion economica"
185,"Tener un sueldo digno ya que con toda la carga laboral que hay y poco personal no nos da abasto, contar con el apoyo de nuestras jefaturas para poder tener los equipos en buen funcionamiento y una buena organización laboral"
186,"Poder tener estabilidad en tu lugar de trabajo, no tener que rotar tanto de lugar"
187,Aumentar los sueldos
188,"Reconocer desempeño, mejorar rentas, invertir en bienestar del personal que atiende público. Realizar de estudios de procesos asociados a cada cargo para determinar la carga laboral."
189,Igualar los sueldos de los colaboradores  y mejorarlos .
190,Agregar tal vez un módulo nuevo para atender de manera más eficiente y rápida
191,"Mayor incentivo económico, capacitacion del personal y preocupacion por el personal"
192,Supervisar las jefaturas
193,Mejorar los sueldos y valorar al personal que lleva mxo tiempo  y que las jefaturas conozcan más a los funcionarios  que trabajan acá.
194,Poner estacionamiento para los funcionarios subir sueldos alivianar la carga laboral mejorar el almuerzo a los funcionarios cambiar jefatura directa por algo mejor
195,"Evitar la sobrecarga laboral,escuchar y observar si el personal está  cansado,mediante retroalimentación, y escucha activa."
196,Aumento de sueldo
197,Mejora en los sueldos de los trabajadores
198,Mejorar los sueldos que son muy deficientes y no van acorde al mercado
199,"Valorar la lealtad y compromisos,  con mejores sueldos"
200,Entregar más herramientas para desarrollarse como profesional a través de capacitaciones
201,Hacer más actividades y capacitaciones para el personal
202,Aumentar los sueldos. Son muy bajos.
203,"Preocuparse más de los colaboradores, actualizar los sueldos"
204,"Mejorar los sueldos, tener más beneficios en tema de salud al uno ser funcionario"
205,"Mejorar los sueldo, están muy bajos, la mayoría de la gana más que nosotras, en todo rubro de trabajo."
206,"Aumentar sueldos, aplicar gestión de proceso de forma más activa"
207,"Poner trasporte para los finde semana y feriados, subir poco el sueldo"
208,Seguridad del personal ( los vestidores)
209,Tendrían q mejorar en unas q otras cosas
210,Mas personal y reajuste de sueldo acorde a las ofertas del mercado tanto para tecnicos como para profesionales
211,Aumentar salario
212,"Valorar un poco mas el talento profesional, ya que existe mucho talento dentro de la Clínica, que podrían ocupar puestos de mayor responsabilidad y compromiso con la organización, evitando así reclutamientos externos, y a su vez sirve de incentivo para el personal, para mejorar tanto su responsabilidad, como su preparación académica para la misma."
213,Que mejore el salario
214,Implementar procesos claros y tener un sistema integrado(softwere)
215,Mejorar sueldos
216,"Segun encuesta dicen q clinica hace mucho por nosotros ,no se a que se refiere ya q no tenemos ni siquiera trato preferencial al venir como paciente a la clinica siendo funcionarios,que seria lo minimo,ademas,en relacion a jefaturas el trato no es  igualitario para todo el equipo de trabajo este varia de acuerdo a la simpatia que se tiene con la jefatura no por cumplimiento,responsabilidad etc."
217,"Mejorar loa sueldos, están muy por debajo del mercado.
Mejorar el entorno físico de las áreas comunes, sobre todos para paciente s y funcionarios. Pagar horas extras por entrega de turno, o por lo menos fijar un tiempo especifico de pago de hora extra (30 minutos asegurados como hora extra por entrega de turno, como s escenario en otras empresas). 

Casino fe alimentación muy pequeño para la cantidad de personas"
218,Más instancias de capacitaciones
219,"Que las jefaturas, consideren la opinion de sus trabajadores, o que sean respetuosas al imponer su jefatura( habilidades blandas o que realicen cursos de liderazgo)"
220,Mejorar sueldos para los trabajadores
221,Mi jefatura directa no escucha a su personal y te rotan de lugar contate ente eso te estrés mucho
222,Más apoyo para cuando se requiera cubrir a una colega ya sea por permisos o licencias y si hay mucho movimiento.
223,Los sueldo al personal mas antigua
224,Solo nesecito que se nos reconozca como técnico en enfermería y no como paramedicos en nuestros contratos así nuestro sueldo cambiaría...
225,Reestructurar los tipos de pacientes que ingresan en cada servicio
226,Subir el sueldo. Y alivianar le la pega a la jefa para que no ande tan estresada.
227,"Que la información entregada a los colaboradores sea una para todos por igual y se refuercen los cambios de las indicaciones para así brindar un mejor servicio a nuestros pacientes , así no se generan malos ratos tanto para el paciente como para nosotros el personal .Generar espacios para los colaboradores donde puedan tener unos 15 minutos de pausa dentro de la jornada ,para tomar aire y así renovar las energías para seguir laborando."
228,Mejorar sueldos
229,aumentar la remuneración
230,Es una institución muy grande donde deberían haber mayores puntos de encuentro de los trabajadores para poder conocernos mas
231,Mejorar los almuerzos  y colaciones  del turno de noche
232,"Mayor empatia y apoyo a su equipo por parte de la jefatura directa, mejorar el trato al personal y la forma de como referirse o expresar sus ideas y opiniones. Que sea amigable y receptiva en la forma de recibir consultas u opiniones."
233,Bonos por cumplimiento de metas o bonos por producción.
234,"Pensando en el personal que recién se integra a la Clínica, sería recomendable, generar trabajos grupales para afianzar lazos con los colegas con un periodo prolongado en el servicio, en ocasiones se generan brechas generacionales o poca tolerancia con quien tiene menor experiencia."
235,Mejorar el sueldo..es muy necesario
236,Subir el sueldo
237,"Sacar algunos médicos de l Uci adulto, son un peligro, mejorar la relaciones interpersonales y no separar las personas que son cercana y trabajan bien"
238,Mejorar los sueldos
239,"Yo creo que que la calidad humana es excelente ,el trabajo, que ejercemos es maravilloso ..yo estoy MUY Félis de trabajar en el sanatorio alemán,pero vuelvo a decir los sueldos de los técnicos de enfermería debería aumentar No ganar lo mismo que un auxiliar de servicio ,yo sé que son personas importantes , pero tengo compañeras que están pagando sus créditos de estudios .y no es justo ...nos merecemos un poquito más.gracias."
240,Mejorar remuneración
241,Subir los sueldos
242,"Tomar en cuenta la opinión del trabajador antes de generar cambios me agradaría dejaríamos de sentirnos  números facilitadores a ser parte del progreso,la comunicación directa de vez en cuando con nuestras jefaturas superiores ayudaría a generar confianza y compromiso."
243,"Tener más reunión con Jefatura,y acoger las inquietudes del ámbito laboral."
244,Mejorar estacionamientos para trabajadores (autos y bicicletas). Solicitar estación biotren en el sector.
245,Estabilizar la planilla de funcionarios
246,Un bienestar con mayores beneficios para sus colaboradores planes de salud mental y  mayor capacitación en sus áreas a fin
247,"capacitaciones relacionadas con las funciones, mayor comunicacion con los servicios mas fluida, mejorar los almuerzos la infraestructura de los comedores, y mas beneficios para los funcionarios tanto internos como externos, dado que es una empresa grande."
248,"Dar por los menos 2 uniformes, ya qur con 1 solo no es suficiente, mejorar un poco la comida ya que la mayoría de las veces no es tan comible, aumentar el sieldo ya que tenemos muchas responsabilidades, del resto estoy muy feliz, gracias."
249,Mejorar los incentivos al personal de salud
250,"1.-Mejorar sueldos, 
2-ofrecer bonos por desempeño en algunos departamentos según evaluaciones anuales de jefaturas. 
3.-dar la posibilidad a trabajadores de mandar felicitaciones o agradecimientos formales por vía de la institución y copia a la jefatura, de esta manera fomentar la colaboración entre distintos departamentos de la institución, además de formalizar y enterar a la jefatura del impacto del trabajador en la institución y distintos servicios."
251,"Que de vez en cuanto se escuche más a los trabajadores que a los pacientes, ya que, no todo es responsabilidad de las secretarias, hay muchos conflictos que pasan por error del sistema, indicaciones del médico, o porque no está bien señalizado algunas locaciones"
252,Mejorar el sistema informático y Coll center
253,Un orden en la mayoría de los procesos a esto me refiero con mayor control y por ultimo que deje de ser casi todo manual en el mundo administrativo y de GAV.
254,Mejorar los sueldos y beneficios para los trabajadores.
255,Capacitaciones donde se enseñe más sobre compañerismo y actividades que den la oportunidad de conocer a nuestros compañeros
256,publicaciones en redes sociales el nivel de trabajo en la clinica y los beneficios que tienen los colaboradores
257,"Aumentar los sueldos, para que sea proporcional al trabajo"
258,"No sumar a personas de la uci situaciones de estres agenas al trabajo ya realizado pensar mas en las personas, sus trayectorias, brindarles confort,preocuparse del personal como personas y no como un numero que cubra turnos, reconocer el trabajo realizado, brindar apoyo y comodidad al equipo, escuchar inquetudes, dar apoyo e intentar solucionar problematicas"
259,"Mejorar los sueldos, eliminar la presión"
260,"Aumentar la remuneración para los Tens, no solo de vocación vivimos."
261,"Hemos crecido  mucho como institución,  en el comedor o pasillos, no nos reconocemos,  ni donde trabajamos y menos saber nombre de pila., Debemos reeducar, aprender a saludarnos y presentarnos."
262,Subir sueldo tener más herramientas de trabajo
263,Modernización real
264,Reconocer el titulo a Tens y aumentar el sueldo segun el area de desepeño laboral
265,Mayor trabajo en equipo entre los servicios
266,Mejores sueldos
267,Mejor retribución económica
268,Hay personas que podrían ser más humana al referirse a otra persona como colega o paciente.
269,Para mejorar en la parte laboral que se contrate gente que realmente se comprometa en su labor y no vaya solo a quejarse que es mucho trabajo y a flojera perdón pero tenía que decirlo  gracias
270,Mil cosas por mejorar
271,"La remuneración , ya que para las labores que ejecutó siento que no es lo que corresponde"
272,Ser más enpaticos y solidarios entre los compañeros y que nos los traten solo como un número
273,"Aumento de sueldo , disminuir la carga laboral tener una jefatura presente, que se recompense al trabajador con bonos como incentivos."
274,MENOR CARGA DE TRABAJO Y METAS REALIZABLES
275,No cambiar a la gente de turno a cada rato
276,Aumentar los sueldos
277,Subir los sueldos!!!!
278,"Mejores sueldos, mas beneficios, y mejor alimentación, sodexo es muy malo"
279,Me gustaría llegar a tener un contrato que asegure mi permanencia acá
280,"Sería ideal que se preocuparan de la alimentación de sus trabajadores, la comida no es muy buena casi siempre te dan congelados los que los transforman en tortilla, ensaladas, la verdad muy malo, y el servicio  y bandejas no se encuentra muy limpio e tenido que cambiar varias veces el servicio."
281,el sanatorio tiene que valor a su personal
282,"Estoy satisfecha con las capacitaciones, pero que estas sean presenciales"
283,"Mejorar sueldos, mejorar infraestructura"
284,Un mejor trabajo realmente de equipo que siempre se dice pero no se cumple para la buena imagen de la clínica
285,Mejorar el trato y trabajo en equipo de las jefaturas hacia el resto del personal
286,Mayor participación e incentivos para los trabajadores.
287,Mejorar sueldos
288,Subir los sueldos a las secretarias  que llevan más años de experiencia y con un buen desempeño laboral..
289,Realizar capacitaciones periódicamente.
290,Mas capacitaciones
291,Subir los sueldos
292,Mejorar sueldos
293,"Desde mi mirada, no necesito nada más que preocuparse por la mantención y cuidado de los puetos de trabajo"
294,Que no hallan privilegios en la atención
295,Aumentar recurso humano y/o mejor distribución mejora de sueldos o incentivos con bonos
296,Mejorar  el sueldo.
297,hacer un equilibrio en sueldo con trayectoria laboral.
298,Realizaere
299,Capacitacion
300,"Actualizar el sistema q sea nas dinamico, rapudo y seguro y q cambien las computadoas porque algunas ya cumplueron su vida util"
301,"Dar una atención, al cliente interno, con una manera de responsabilidad social, ya que generaría fidelización en cada colaborador, ya que el tiempo laborado le genere crecimiento laboral"
302,"Ser transparentes, comunicarnos con anticipación las decisiones que como institución se realizan, capacitarnos, tener apoyo psicológico ante la muerte de un paciente y esto se traduce en acciones que nos hagan sentir que somos lo más importante de la institución."
303,Tener mejores condiciones para realizar nuestro trabajo
304,Mayor incentivo económico y laboral
305,Lugar fisisco
306,Mejor distribución de la carga laboral.
307,Más convenios con universidades para seguir con el perfeccionamiento profesional en cada área. Mejorar la remuneración. Evitar los constantes cambios de equipos
308,Escuchar
309,mejorar la carga laboral
310,"En mí caso personal,rotar a los de urgencia respiratoria y general para que se quiten de la cabeza que en urgencia respiratoria no se hace nada eso me tiene muy disconforme con mis colegas y enfermer@s de turno"
311,"Primero q nada subir los sueldos tener beneficios
Cursos"
312,"La llegada de nuevo personal, para no terminar los turnos reventada. Por falta de este."
313,"Lo que debería ser mejor son los sueldos, son muy bajos en comparación con el mercado, sino he buscado otros lugares de trabajo es por el gran amor que tengo por la clínica, llevo 25 años acá y he vivido momentos muy lindos como el nacimiento de mis hijos y muy triste como la muerte de mi esposo, son muchos los momentos laborales hermosos que me han llenado de satisfacción, pero el sueldo es muy malo"
314,Mejorar sueldos de algunos estamentos.
315,Evaluar mi puesto de trabajo.
316,"Disponer de un bus de acercamiento para los funcionarios, aunque sea para los fin de semanas!! Tanto como turno de largo y noche. La locomoción los fin de semana es muy escasa, malisima en realidad!!"
317,"Aumentar el sueldo de los tens ya que realizamos un trabajo escencial y aveces resulta injusto ganar menos que un auxiliar sin desmerecer su trabajo ya que para esta profesión se invierte dinero y tiempo, sin el título no se puede trabajar de tens , a la misma vez resulta injusto que las personas que llevan menos tiempo trabajando las contraten con mejores sueldos es ilógico que hayan sueldos base de 347 alguien que lleva mas de 2 años y 400 alguien que lleva 2 meses"
318,"Escuchar a sus colaboradores en cuanto al bienestar interno, otorgar una estabilidad laboral y nivelacion de sueldos"
