;typeform_id;id;¿Qué podríamos hacer para mejorar la experiencia de trabajar en redcross?
103;c66f1067d749fea0;9690afi1dpgv1wxs9690ftirb8q9odjg;Mejorar los sueldos a los TENS, no puede ser que ganemos tan mal y que nuestro sueldo sea el mismo que los auxiliares de servicio que sin desmerecer su trabajo ellos no estudian para ejercer su oficio y por ende no se endeudan para poder estudiar. Se debe valorar el trabajo del personal que estudia para poder atender a los pacientes y subir los sueldos tan bajos. El sanatorio se caracteriza por tener los sueldos más bajos de la región. Y el prestigio que tiene es gracias a sus trabajadores no a sus instalaciones. Pero nunca lo valoran como a uno le gustaría que se viera reflejado en el “sueldo”
104;315dc46a34346854;610eo4qna42a6tys6610eoj74rii8x16;Mejorar los sueldos y las jornadas laborales, instalar una zona para que las mamas podamos extraernos y almacenar nuestra leche materna
105;1f266a843dd7f45a;n03j5xz0ti2k64wtmin03j5tfis8p2xu;Realizar más capacitaciones
106;330602dc467f5b16;z09wt0a6idbg4g7z09p8mi7dr0ze6dut;Aumentar los sueldos
107;1f30eebe3d5b3f1b;gnwmzlo0if0ektq8hg4gnwml9osfs2ih;Dar oportunidades de ascenso y reconocimiento de estudios , por la experiencia de trabajar más de 10 años en la organización .
108;34de6b623bbd4aab;ujlv6ob8xxdycb6kcujlvufve0t3tu9b;Tener más apoyo laboral falta de personal en servicios de paciente hospitalizaso
109;1f7d0366d461fb27;27e44eq3y7rjl31m27e46grewzh94kg3;La comunicacion interna
110;c9236f481f512656;pv1szrydk3wccw3denlupv1szomlt7cw;Mejorar el ambiente laboral, que sea mas cercano. Mejorar espacio físico del laboratorio que donde trabajo
111;3599a37422844a6c;ffe865a3ud1ph1cyr4angffe866ad1s0;Oportunidades reales de desarrollo de carrera y trato a todos por igual, no el trato diferenciado a personal médico
112;35ba11de83e5d83d;q8xchb8pjk2qfzq8xch18ul5qbrc29a7;Ajuste salarial según el estándar nacional
113;203eecae4cbd6934;q8jklropxq5pbbq8jlocfrzn3xgs6t2k;Dar oportunidades en otras áreas
114;374a1c890fa3a506;vwq6aax960t9vw7hk3ekbvwq6aacf59g;Empatía con el trabajo realizado
115;377fb56124e3b1d1;monsntbt81p84fbq8monsntw7zmqjdso;Más beneficios a los funcionarios
116;cb171cf18483c64d;mbtkh1knfdz5mbtk2rf2fhflep4b2rf2;Dar mayores beneficios, aumentar sueldo o generar bonos en base a cumplimietos, preocuparse de recepcionar y tomar medidas en lo que necesitan los empleados. Ser cordiales y cercanos. Preocuparse de tener personale suficinete para las labores, y no explotar a una persona al quedar sola por licencia medica o permisos de sus compañeros. además de bajar la información de lo que se espera de nosotros como trabajador, no tratar tan despectivamente.
117;ce55888a59030186;4hkzmh8ge3z1rwxy6y4hkzm50gp2o4yw;Estar más informados, de los problemas que existen en los servicios, en relación a la dinámica de trabajo y trato de personal
118;39ed42e6434e4d78;7uidkf6a8yffsbfaxqi7uidkf6hjcpg1;Que se preocupen de las desigualdades de los sueldos, tener mejores beneficios.
119;3a3544eda98692dd;coi4fxogqac2chqcoi4fxog6vqulwmlz;Aumentar el sueldo
120;3ad4482b2ae59d89;64i3lux5ncbsmrqc64ia1xqg26cahizn;Mejorar la cominicacion interna, y es necesario el apoyo de jefatura en cuanto a directrices, estimulo y felicitaciones
121;204010bc95fb0aab;a7wujy1cibumx9a7w0i775ett1pd87tk;Tener más garantías para los trabajadores y mejorar las negociaciones
122;d19d8ceba625ab20;voyf1ilzcqjdlyehw0voyf1il6jg3eok;Subir sueldos, mas beneficios, capacitaciones al personal, mejorar la seguridad.
123;220f499e064f76da;nqdhd4b5sip00nqdhc1quyonb91sphc1;Sueldos acorde con  costo de la vida
124;243da7c39243a420;59pf5xycw3unfjnu59pfmkry690cypbj;revisar y estandarizar sueldos según mercado
125;3ded43e436f2b822;4s3m77oa1vwmcryofus4s3m7tuddjyp2;Destacar la antigüedad del personal. En remuneración o bonos
126;d43b7fe2c2c61083;0ktjqk67fuvhif0ktj9wyddgmln1yabk;No hay régimen de trabajo las personas hacen lo que quieren, mucho desorden, y poca consecuencia.
127;d8b0e49a02e8b2e5;3c8lieol32tacc3z3q3c8liej8kbkngh;Mejorar los sueldos, mejorar y agregar bonos y pagar especialidad y trabajo en uci
128;e0c4ce3e27fa6be4;g01sff4b1pj2mbwvg01s59zdz1wewn5h;De esta encuesta quizás salgan ideas.
129;246b39259b9683c8;4gpkgw2iywr7lvfk8qudv4gpkgw2irqn;Mejorar más el sueldo
130;24eddb4516d2a9dd;dd8fxg8o2v5jypl2on7ywpdd8fxg1pky;Trabajo en equipo de todas las áreas , comunicación efectiva hacia las personas que realizan la operatividad a diario
131;42cbfce2056f8a9b;xz79g9gqhflom8l79nxz79lfuiyrc3uh;Subir sueldos
132;26606d2909d41edc;o8tw4pgg2hqewmt9fkjo8tw4ldkqu6x4;Continuar con el trabajo en equipo  y con mucho amor ami trabajo
133;282b491b1f3b1409;dn9n3spjeufr6bpte7cyfe9fdn9n3spj;Facilitar la movilización para los que vivimos lejos
134;eecc26fc5b8a8ca7;vmtefi9qlyovmtht1igy3sd2kwjjls4r;Los sueldos,evaluacion al personsal,reconocimiento a la antigüedad,todo lo wue significa preparar todos los años al nuevo personal
135;29f5ab8619bde676;j7mzc6ugu2g6ag4v4j7mzw3pc27mwiu4;Su infraestructura
136;2a03668c1593ee25;lgsapogtyrv9caxvsg0bolgsaogjt55b;Mejorar los tiempos de atención en consulta médica y urgencias. Y brindar mejores espacios de descanso para los funcionarios.
137;2b40df7acaf3b13c;o9up1582h7m1kj6ur0o9up1o2uqfv9gd;Generar encuentros de participación en diferentes ámbitos de la clinica
138;f47b358d7868c8e4;vnsl75l89sm8xk94g1ou2vnsl752vrtn;Mejorar los sueldos, ambiente laboral, jefatura más empática,  mejorar sistema  informático de consultas medicas
139;2b95158343ddf623;wqu2a1nkd50ry7cnhlhwqu2a1ak7sadd;Aumento de sueldo
140;468383826b346829;k96hdh21acug9jlak96hdb5jctyh2xyx;SoyTens UCI adulto. Subir el sueldo
141;2cde5fb194144fe8;iswqgfskd7w338nc7ihl8cl52iswqgfs;Mejorar los sueldos de tens
142;46c192c4c27b5e0e;hc0tu2zimnwlm4gl1t7hc0tu2mr7yvye;Mejorar los sueldos, realizar PCR gratuito a personal, sobre todo de enfermería, cada 15 días, mejorar colaciones para turno de noche, aumento de personal de enfermería competente en área hospitalizados, mejorar seguridad... Etc
143;47e82551dcddf692;nmx1e9ilcnjlkeodkcotnmx1ek8sqpgu;"Preocuparse más por los empleados y la calidad de atención que se brinda a los pacientes.
Valorar el trabajo que se entrega como trabajador viendose reflejado en los sueldos"
144;47f44fdae275b68b;sp8u67m4x5lll2sp8h4k63cnwo9g3bg1;Que nos den las herramientas para trabajar mejor.equipamientos y mejorar en la atención administrativas
145;2e70a969a27ab805;v6jhm0yatygktjp9j0av6jh66y25n4yg;Mejorar el sueldo
146;48480bfca4787344;qw02z16xpy6295hr38qw02z15ta5u6dz;Subir sueldos- Mucho trabajo poco dinero -
147;2ea417edd3fc4560;nx0yw9twwbhtq1isnu8fnx0yw9fxxp8s;Más extrictos y pedirle más compromiso al personal nuevo q se viene integrando para hacer un mejor trabajo en equipo
148;2fc890cf7a13ddcf;di2ga36mtdefxxqf3zydi2g393ek07dg;Que la organizacion de compañeros con el lugar de trabajo lo respeten
149;2fc958de2c9bfe86;sp02ueeakdqzcsp0ab8rgjpqw4bqebf2;Calidad de sueldos y escuchar al personal
150;f92d55d6920e2dcd;leqceuevcaf2692oet9leqceu8z457lu;Hacer que el trabajador se sienta y vea que es muy necesario en su puesto de trabajo...que se vea reflejado su esfuerzo y entrega en su remuneracion.
151;333d3cb7f6b5feee;q2vt697cit07zlbgnq2vxln5bpxm59sm;Mejorar los sueldos
152;02ba061432efddb1;eibkdlgmlczs9751dg5eibkt7ycapwr8;mejora en equipos computacionales, en oficinas con menos gente, mejora en sueldos y dar cursos a funcionarios de contencion para atención a público.
153;02facaa3ed0265e9;scq8tm6wsrvuwwkw8scq89zhxhsv8507;"Estacionamiento para funcionarios de urgencia. Vacaciones compensatorias.
Equiparar sueldo con servicio publico"
154;04322a95d52d8599;s5lg3gxq3a48zq0qctz7npus5lg3gxj2;Tener mayor reconocimiento por la experiencia y antiguedad de los funcionarios
155;4cb3a4330151798b;p6xtlk47gz0znjtp6xtld2e66yod9dhw;Mejorar atención en sus trabajadores
156;4f326f152d0f0c1d;y07ec562fosrfvbpy0aev5l2j8ry7pep;No considerarnos un número
157;34edf60a64049817;lu9by1rk69b8ze8ilu9bbnp3l7jz14xz;Sueldos
158;373991215d429014;xssgoht67holxdf2xssgo0do64zxij2y;Trabajar más en equipo siempre mantener el respeto entre trabajador y jefatura .
159;3af079f6801949b5;y49uzg4vk3ioezjtt9v0a8y49uzg4fqk;Seguir siendo activa y motivada en mi rol de tens
160;51de4a78df52333e;js4d158nou4sfiw5ev5js4d7jnztp3cv;Valorar el trabajo y compromiso con la empresa y aumento salarial
161;3c42ab37b6fdadd5;ar7b09n2sf9wyxv3ar7b09lfzp9q2qm6;Colocar buses de acercamientos entrada y salida laboral
162;5252668d32cc65a5;noh97cxsphjib8vvcbocnoh97cignyrz;Aumento de sueldo base, mejorar alimentación y colaciones
163;051449696450b614;dt4kzoynxz6473su2y7ntdt4kzoyn4ox;Mejorar los sueldos .
164;3de7cff3d7b9d972;of49oeifnofcnzlofvbpwwhe62a9rizv;Subir el sueldo, arreglar horarios de trabajo, mejorar alimentación del casino
165;05429337e95ead4a;kv17vptnyiiqakorkv17vk6s532ty2jn;Remuneración, colaciones y locomoción
166;553e044349da48d6;gnu524o967ees3lhc4g41gnu524opjo1;No lo se
